"ID (From ACI 369 databases). The first 104 entries are circular columns, the rest (237) are rectangular columns",Section depth [in.],Section width [in.],a [in.],a/d,Bar dia. [in.],fy (longi. reinf.) [psi],pL (longi. reinf.),Spacing of trans. reinf. (s) [in.],fy (trans. reinf.) [psi],pv (trans. reinf. ratio),s/d,f'c [psi],Axial load(P) [kips],Axial load ratio,s/lbd,a/s,pl * fyl,pt * fyt,A [in],I,Drift ratio at 0.8Vmax1 [%],Col.Name,References
DATASTART,,,,,,,,,,,,,,,,,,,,,,,
216,24.01574803,14.96062992,91.92913386,4.122164357,0.751968504,64960,0.022249266,4.330708661,62060,0.002705678,0.194191897,3944,138.252,0.097563757,5.759162303,21.22727273,1445.312319,167.9143767,359.2907185,17268.5944,5.2262,A1,Wehbe;N.;Saiidi;M.S.;Sanders;D;(1998). Confinement of Rectangular Bridge Columns for Modrate Seismic Areas;National Center for Earthquake Engineering Research. 12.
217,24.01574803,14.96062992,91.92913386,4.122164357,0.751968504,64960,0.022249266,4.330708661,62060,0.002705678,0.194191897,3944,338.324,0.238753585,5.759162303,21.22727273,1445.312319,167.9143767,359.2907185,17268.5944,4.3795,A2,Wehbe;N.;Saiidi;M.S.;Sanders;D;(1998). Confinement of Rectangular Bridge Columns for Modrate Seismic Areas;National Center for Earthquake Engineering Research. 12.
218,24.01574803,14.96062992,91.92913386,4.100447801,0.751968504,64960,0.022249266,3.267716535,62060,0.003585838,0.145754676,4074.5,135.1048,0.09228911,4.345549737,28.13253012,1445.312319,222.5371063,359.2907185,17268.5944,6.8863,B1,Wehbe;N.;Saiidi;M.S.;Sanders;D;(1998). Confinement of Rectangular Bridge Columns for Modrate Seismic Areas;National Center for Earthquake Engineering Research. 12.
219,24.01574803,14.96062992,91.92913386,4.100447801,0.751968504,64960,0.022249266,3.267716535,62060,0.003585838,0.145754676,4074.5,340.3472,0.232488707,4.345549737,28.13253012,1445.312319,222.5371063,359.2907185,17268.5944,5.5461,B2,Wehbe;N.;Saiidi;M.S.;Sanders;D;(1998). Confinement of Rectangular Bridge Columns for Modrate Seismic Areas;National Center for Earthquake Engineering Research. 12.
220,10,10,20,2.288803785,0.751968504,73950,0.035528688,2.007874016,73950,0.016415513,0.229781482,11020,109.9272,0.09975245,2.670157068,9.960784312,2627.346478,1213.927186,100,833.3333333,7.0275,HC4-8L19-T10-0.1P,"Xiao;Y. M.;Armen (1998). ""Seismic Performance of High-Strength Concrete Columns."" Journal of Structural Engineering (ASCE) 124(3): 241-251."
221,10,10,20,2.288803785,0.751968504,73950,0.035528688,2.007874016,73950,0.016415513,0.229781482,11020,220.0792,0.199708893,2.670157068,9.960784312,2627.346478,1213.927186,100,833.3333333,5.854,HC4-8L19-T10-0.2P,"Xiao;Y. M.;Armen (1998). ""Seismic Performance of High-Strength Concrete Columns."" Journal of Structural Engineering (ASCE) 124(3): 241-251."
222,10,10,20,2.272422277,0.625984252,73950,0.024621056,2.007874016,73950,0.016415513,0.228136882,12470,120.0432,0.096265597,3.20754717,9.960784312,1820.727091,1213.927186,100,833.3333333,7.2905,HC4-8L16-T10-0.1P,"Xiao;Y. M.;Armen (1998). ""Seismic Performance of High-Strength Concrete Columns."" Journal of Structural Engineering (ASCE) 124(3): 241-251."
223,10,10,20,2.272422277,0.625984252,73950,0.024621056,2.007874016,73950,0.016415513,0.228136882,12470,240.0864,0.192531195,3.20754717,9.960784312,1820.727091,1213.927186,100,833.3333333,6.784,HC4-8L16-T10-0.2P,"Xiao;Y. M.;Armen (1998). ""Seismic Performance of High-Strength Concrete Columns."" Journal of Structural Engineering (ASCE) 124(3): 241-251."
224,8.858267717,8.858267717,17.71653543,2.209131075,0.393700787,56985,0.018616845,1.771653543,205175,0.008070402,0.220913108,17110,804.5592,0.599253243,4.500000004,10,1060.880912,1655.84473,78.46890695,513.1141131,0.7205,UC10H,Sugano;S. (1996). Seismic Behavior of Reinforced Concrete Columns Which used Ultra-High-Strength Concrete. Eleventh World Conference on Earthquake Engineering. Acapulco (Mexico).
225,8.858267717,8.858267717,17.71653543,2.223320158,0.393700787,56985,0.018616845,1.771653543,206480,0.0127091,0.222332016,17110,804.5592,0.599253243,4.500000004,10,1060.880912,2624.174968,78.46890695,513.1141131,1.8028,UC15H,Sugano;S. (1996). Seismic Behavior of Reinforced Concrete Columns Which used Ultra-High-Strength Concrete. Eleventh World Conference on Earthquake Engineering. Acapulco (Mexico).
