a,a/d,lbd,fy,pl,s,pt,s/d,AL,ALR,Vmax,pt/Vmax,Column ID,DC,Conc. Cover,fyt,f'c,h,b
70.2362,3.23192,0.945,62640,0.0188543,3.14961,0.0106029,0.144929,145.221,0.100084,88.814,5.279722257,1,5.891547085,0.95,44225,3900.5,23.62204724,15.748
14.7638,1.7697,0.374016,56956,0.00680469,1.25984,0.00890936,0.151015,96.4392,0.333277,36.0782,11.56570659,1,1.774613333,1.1,46835,2987,9.842519685,9.842519685
62.9921,4.57143,0.748031,52490,0.0141764,3.93701,0.00318086,0.285714,28.5496,0.0320131,27.2075,5.509437747,1,5.12937125,1.24,47125,3596,15.7480315,15.7480315
62.9921,4.57143,0.748031,52490,0.0141764,3.93701,0.00318086,0.285714,28.5496,0.0320131,24.4358,6.134361367,1,6.12775,1.24,47125,3596,15.7480315,15.7480315
62.9921,4.57143,0.748031,52490,0.0141764,3.93701,0.00318086,0.285714,28.5496,0.0320131,24.7617,6.053624246,1,4.57025375,1.24,47125,3596,15.7480315,15.7480315
12.5984,2.32305,0.374016,49445,0.0221507,1.5748,0.00613592,0.290381,97.1136,0.799939,16.2326,30.63877602,1,2.0367625,0.49,81055,3059.5,6.299212598,6.299212598
29.5276,3.32373,0.5,54230,0.0162146,1.9685,0.00380133,0.221582,41.3407,0.105486,18.4077,15.15146282,1,4.613317333,0.49,73370,4045.5,9.842519685,9.842519685
29.5276,3.69185,0.5,54230,0.0162146,1.9685,0.00380133,0.246124,41.3407,0.105486,17.9898,15.50342873,1,4.613148,1.38,73370,4045.5,9.842519685,9.842519685
29.5276,3.69185,0.5,54230,0.0162146,1.9685,0.00380133,0.246124,41.3407,0.105486,18.4077,15.15146282,1,4.613317333,1.38,73370,4045.5,9.842519685,9.842519685
29.528,3.69146,0.5,54230,0.0162131,1.969,0.00379894,0.246156,41.363,0.118724,19.014,10.19763846,1,2.286004572,1.38,51040,3596,9.843,9.843
29.5276,3.69185,0.5,54230,0.0162146,1.9685,0.00380133,0.246124,41.3632,0.105543,18.3432,15.20473975,1,2.510366667,1.38,73370,4045.5,9.842519685,9.842519685
29.5276,3.69185,0.5,54230,0.0162146,1.9685,0.00380133,0.246124,41.3632,0.105543,17.4164,16.01384799,1,2.859362667,1.38,73370,4045.5,9.842519685,9.842519685
19.685,2.79895,0.5,57942,0.0316693,1.378,0.0161534,0.195933,308.201,0.400032,54.527,14.1066371,1,5.816611633,0.35,47618,12426.5,7.874,7.874
19.685,2.79877,0.5,57942,0.0380031,1.37795,0.0161568,0.195914,308.201,0.40003,54.8804,33.82172384,1,10.018268,0.35,114883.5,12426.5,7.874015748,7.874015748
